movieId,title,genres,poster
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://storage.googleapis.com/movielens-posters/MLP-20M/1.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://storage.googleapis.com/movielens-posters/MLP-20M/2.jpg
3,Grumpier Old Men (1995),Comedy|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/3.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/4.jpg
5,Father of the Bride Part II (1995),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/5.jpg
6,Heat (1995),Action|Crime|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/6.jpg
7,Sabrina (1995),Comedy|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/7.jpg
8,Tom and Huck (1995),Adventure|Children,https://storage.googleapis.com/movielens-posters/MLP-20M/8.jpg
9,Sudden Death (1995),Action,https://storage.googleapis.com/movielens-posters/MLP-20M/9.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/10.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/11.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://storage.googleapis.com/movielens-posters/MLP-20M/12.jpg
13,Balto (1995),Adventure|Animation|Children,https://storage.googleapis.com/movielens-posters/MLP-20M/13.jpg
14,Nixon (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/14.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/15.jpg
16,Casino (1995),Crime|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/16.jpg
17,Sense and Sensibility (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/17.jpg
18,Four Rooms (1995),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/18.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/19.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/20.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/21.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/22.jpg
23,Assassins (1995),Action|Crime|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/23.jpg
24,Powder (1995),Drama|Sci-Fi,https://storage.googleapis.com/movielens-posters/MLP-20M/24.jpg
25,Leaving Las Vegas (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/25.jpg
26,Othello (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/26.jpg
27,Now and Then (1995),Children|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/27.jpg
28,Persuasion (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/28.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://storage.googleapis.com/movielens-posters/MLP-20M/29.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/30.jpg
31,Dangerous Minds (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/31.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/32.jpg
34,Babe (1995),Children|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/34.jpg
36,Dead Man Walking (1995),Crime|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/36.jpg
38,It Takes Two (1995),Children|Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/38.jpg
39,Clueless (1995),Comedy|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/39.jpg
40,"Cry, the Beloved Country (1995)",Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/40.jpg
41,Richard III (1995),Drama|War,https://storage.googleapis.com/movielens-posters/MLP-20M/41.jpg
42,Dead Presidents (1995),Action|Crime|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/42.jpg
43,Restoration (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/43.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://storage.googleapis.com/movielens-posters/MLP-20M/44.jpg
45,To Die For (1995),Comedy|Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/45.jpg
46,How to Make an American Quilt (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/46.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/47.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/48.jpg
49,When Night Is Falling (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/49.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/50.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/52.jpg
53,Lamerica (1994),Adventure|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/53.jpg
54,"Big Green, The (1995)",Children|Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/54.jpg
55,Georgia (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/55.jpg
57,Home for the Holidays (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/57.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/58.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,https://storage.googleapis.com/movielens-posters/MLP-20M/60.jpg
61,Eye for an Eye (1996),Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/61.jpg
62,Mr. Holland's Opus (1995),Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/62.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,https://storage.googleapis.com/movielens-posters/MLP-20M/63.jpg
64,Two if by Sea (1996),Comedy|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/64.jpg
65,Bio-Dome (1996),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/65.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/66.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/68.jpg
69,Friday (1995),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/69.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/70.jpg
71,Fair Game (1995),Action,https://storage.googleapis.com/movielens-posters/MLP-20M/71.jpg
72,Kicking and Screaming (1995),Comedy|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/72.jpg
73,"Misérables, Les (1995)",Drama|War,https://storage.googleapis.com/movielens-posters/MLP-20M/73.jpg
74,Bed of Roses (1996),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/74.jpg
75,Big Bully (1996),Comedy|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/75.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/76.jpg
77,Nico Icon (1995),Documentary,https://storage.googleapis.com/movielens-posters/MLP-20M/77.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/78.jpg
79,"Juror, The (1996)",Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/79.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/80.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/81.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/82.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/83.jpg
85,Angels and Insects (1995),Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/85.jpg
86,White Squall (1996),Action|Adventure|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/86.jpg
87,Dunston Checks In (1996),Children|Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/87.jpg
88,Black Sheep (1996),Comedy,https://storage.googleapis.com/movielens-posters/MLP-20M/88.jpg
89,Nick of Time (1995),Action|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/89.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/92.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/93.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/94.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/95.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/96.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,https://storage.googleapis.com/movielens-posters/MLP-20M/97.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,https://storage.googleapis.com/movielens-posters/MLP-20M/99.jpg
100,City Hall (1996),Drama|Thriller,https://storage.googleapis.com/movielens-posters/MLP-20M/100.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,https://storage.googleapis.com/movielens-posters/MLP-20M/101.jpg
